***** 10000
BST Inserting 10000, traversed counter is 0
BST Inserting 9642, traversed counter is 358
AVL Inserting 9642, traversed counter is 12
BST Inserting 9641, traversed counter is 359
AVL Inserting 9641, traversed counter is 58
BST Inserting 9640, traversed counter is 360
AVL Inserting 9640, traversed counter is 12
BST Inserting 9639, traversed counter is 361
AVL Inserting 9639, traversed counter is 18
BST Inserting 9638, traversed counter is 362
AVL Inserting 9638, traversed counter is 12
BST Inserting 9637, traversed counter is 363
AVL Inserting 9637, traversed counter is 31
BST Inserting 9636, traversed counter is 364
AVL Inserting 9636, traversed counter is 12
BST Inserting 9635, traversed counter is 365
AVL Inserting 9635, traversed counter is 18
BST Inserting 9634, traversed counter is 366
AVL Inserting 9634, traversed counter is 12
BST Inserting 9633, traversed counter is 367
AVL Inserting 9633, traversed counter is 113
BST Inserting 9632, traversed counter is 368
AVL Inserting 9632, traversed counter is 12
BST Inserting 9631, traversed counter is 369
AVL Inserting 9631, traversed counter is 18
BST Inserting 9630, traversed counter is 370
AVL Inserting 9630, traversed counter is 12
BST Inserting 9629, traversed counter is 371
AVL Inserting 9629, traversed counter is 31
BST Inserting 9628, traversed counter is 372
AVL Inserting 9628, traversed counter is 12
BST Inserting 9627, traversed counter is 373
AVL Inserting 9627, traversed counter is 18
BST Inserting 9626, traversed counter is 374
AVL Inserting 9626, traversed counter is 12
BST Inserting 9625, traversed counter is 375
AVL Inserting 9625, traversed counter is 58
BST Inserting 9624, traversed counter is 376
AVL Inserting 9624, traversed counter is 12
BST Inserting 9623, traversed counter is 377
AVL Inserting 9623, traversed counter is 18
BST Inserting 9622, traversed counter is 378
AVL Inserting 9622, traversed counter is 12
BST Inserting 9621, traversed counter is 379
AVL Inserting 9621, traversed counter is 31
BST Inserting 9620, traversed counter is 380
AVL Inserting 9620, traversed counter is 12
BST Inserting 9619, traversed counter is 381
AVL Inserting 9619, traversed counter is 18
BST Inserting 9618, traversed counter is 382
AVL Inserting 9618, traversed counter is 12
BST Inserting 9617, traversed counter is 383
AVL Inserting 9617, traversed counter is 894
BST Inserting 9616, traversed counter is 384
AVL Inserting 9616, traversed counter is 12
BST Inserting 9615, traversed counter is 385
AVL Inserting 9615, traversed counter is 18
BST Inserting 9614, traversed counter is 386
AVL Inserting 9614, traversed counter is 12
BST Inserting 9613, traversed counter is 387
AVL Inserting 9613, traversed counter is 31
BST Inserting 9612, traversed counter is 388
AVL Inserting 9612, traversed counter is 12
BST Inserting 9611, traversed counter is 389
AVL Inserting 9611, traversed counter is 18
BST Inserting 9610, traversed counter is 390
AVL Inserting 9610, traversed counter is 12
BST Inserting 9609, traversed counter is 391
AVL Inserting 9609, traversed counter is 58
BST Inserting 9608, traversed counter is 392
AVL Inserting 9608, traversed counter is 12
BST Inserting 9607, traversed counter is 393
AVL Inserting 9607, traversed counter is 18
BST Inserting 9606, traversed counter is 394
AVL Inserting 9606, traversed counter is 12
BST Inserting 9605, traversed counter is 395
AVL Inserting 9605, traversed counter is 31
BST Inserting 9604, traversed counter is 396
AVL Inserting 9604, traversed counter is 12
BST Inserting 9603, traversed counter is 397
AVL Inserting 9603, traversed counter is 18
BST Inserting 9602, traversed counter is 398
AVL Inserting 9602, traversed counter is 12
BST Inserting 9601, traversed counter is 399
AVL Inserting 9601, traversed counter is 113
BST Inserting 9600, traversed counter is 400
AVL Inserting 9600, traversed counter is 12
BST Inserting 9599, traversed counter is 401
AVL Inserting 9599, traversed counter is 18
BST Inserting 9598, traversed counter is 402
AVL Inserting 9598, traversed counter is 12
BST Inserting 9597, traversed counter is 403
AVL Inserting 9597, traversed counter is 31
BST Inserting 9596, traversed counter is 404
AVL Inserting 9596, traversed counter is 12
BST Inserting 9595, traversed counter is 405
AVL Inserting 9595, traversed counter is 18
BST Inserting 9594, traversed counter is 406
AVL Inserting 9594, traversed counter is 12
BST Inserting 9593, traversed counter is 407
AVL Inserting 9593, traversed counter is 58
BST Inserting 9592, traversed counter is 408
AVL Inserting 9592, traversed counter is 12
BST Inserting 9591, traversed counter is 409
AVL Inserting 9591, traversed counter is 18
BST Inserting 9590, traversed counter is 410
AVL Inserting 9590, traversed counter is 12
BST Inserting 9589, traversed counter is 411
AVL Inserting 9589, traversed counter is 31
BST Inserting 9588, traversed counter is 412
AVL Inserting 9588, traversed counter is 12
BST Inserting 9587, traversed counter is 413
AVL Inserting 9587, traversed counter is 18
BST Inserting 9586, traversed counter is 414
AVL Inserting 9586, traversed counter is 12
BST Inserting 9585, traversed counter is 415
AVL Inserting 9585, traversed counter is 224
BST Inserting 9584, traversed counter is 416
AVL Inserting 9584, traversed counter is 12
BST Inserting 9583, traversed counter is 417
AVL Inserting 9583, traversed counter is 18
BST Inserting 9582, traversed counter is 418
AVL Inserting 9582, traversed counter is 12
BST Inserting 9581, traversed counter is 419
AVL Inserting 9581, traversed counter is 31
BST Inserting 9580, traversed counter is 420
AVL Inserting 9580, traversed counter is 12
BST Inserting 9579, traversed counter is 421
AVL Inserting 9579, traversed counter is 18
BST Inserting 9578, traversed counter is 422
AVL Inserting 9578, traversed counter is 12
BST Inserting 9577, traversed counter is 423
AVL Inserting 9577, traversed counter is 58
BST Inserting 9576, traversed counter is 424
AVL Inserting 9576, traversed counter is 12
BST Inserting 9575, traversed counter is 425
AVL Inserting 9575, traversed counter is 18
BST Inserting 9574, traversed counter is 426
AVL Inserting 9574, traversed counter is 12
BST Inserting 9573, traversed counter is 427
AVL Inserting 9573, traversed counter is 31
BST Inserting 9572, traversed counter is 428
AVL Inserting 9572, traversed counter is 12
BST Inserting 9571, traversed counter is 429
AVL Inserting 9571, traversed counter is 18
BST Inserting 9570, traversed counter is 430
AVL Inserting 9570, traversed counter is 12
BST Inserting 9569, traversed counter is 431
AVL Inserting 9569, traversed counter is 113
BST Inserting 9568, traversed counter is 432
AVL Inserting 9568, traversed counter is 12
BST Inserting 9567, traversed counter is 433
AVL Inserting 9567, traversed counter is 18
BST Inserting 9566, traversed counter is 434
AVL Inserting 9566, traversed counter is 12
BST Inserting 9565, traversed counter is 435
AVL Inserting 9565, traversed counter is 31
BST Inserting 9564, traversed counter is 436
AVL Inserting 9564, traversed counter is 12
BST Inserting 9563, traversed counter is 437
AVL Inserting 9563, traversed counter is 18
BST Inserting 9562, traversed counter is 438
AVL Inserting 9562, traversed counter is 12
BST Inserting 9561, traversed counter is 439
AVL Inserting 9561, traversed counter is 58
BST Inserting 9560, traversed counter is 440
AVL Inserting 9560, traversed counter is 12
BST Inserting 9559, traversed counter is 441
AVL Inserting 9559, traversed counter is 18
BST Inserting 9558, traversed counter is 442
AVL Inserting 9558, traversed counter is 12
BST Inserting 9557, traversed counter is 443
AVL Inserting 9557, traversed counter is 31
BST Inserting 9556, traversed counter is 444
AVL Inserting 9556, traversed counter is 12
BST Inserting 9555, traversed counter is 445
AVL Inserting 9555, traversed counter is 18
BST Inserting 9554, traversed counter is 446
AVL Inserting 9554, traversed counter is 12
BST Inserting 9553, traversed counter is 447
AVL Inserting 9553, traversed counter is 447
BST Inserting 9552, traversed counter is 448
AVL Inserting 9552, traversed counter is 12
BST Inserting 9551, traversed counter is 449
AVL Inserting 9551, traversed counter is 18
BST Inserting 9550, traversed counter is 450
AVL Inserting 9550, traversed counter is 12
BST Inserting 9549, traversed counter is 451
AVL Inserting 9549, traversed counter is 31
BST Inserting 9548, traversed counter is 452
AVL Inserting 9548, traversed counter is 12
BST Inserting 9547, traversed counter is 453
AVL Inserting 9547, traversed counter is 18
BST Inserting 9546, traversed counter is 454
AVL Inserting 9546, traversed counter is 12
BST Inserting 9545, traversed counter is 455
AVL Inserting 9545, traversed counter is 58
BST Inserting 9544, traversed counter is 456
AVL Inserting 9544, traversed counter is 12
BST Inserting 9543, traversed counter is 457
AVL Inserting 9543, traversed counter is 18
BST Inserting 9542, traversed counter is 458
AVL Inserting 9542, traversed counter is 12
BST Inserting 9541, traversed counter is 459
AVL Inserting 9541, traversed counter is 31
BST Inserting 9540, traversed counter is 460
AVL Inserting 9540, traversed counter is 12
BST Inserting 9539, traversed counter is 461
AVL Inserting 9539, traversed counter is 18
BST Inserting 9538, traversed counter is 462
AVL Inserting 9538, traversed counter is 12
BST Inserting 9537, traversed counter is 463
AVL Inserting 9537, traversed counter is 113
BST Inserting 9536, traversed counter is 464
AVL Inserting 9536, traversed counter is 12
BST Inserting 9535, traversed counter is 465
AVL Inserting 9535, traversed counter is 18
BST Inserting 9534, traversed counter is 466
AVL Inserting 9534, traversed counter is 12
BST Inserting 9533, traversed counter is 467
AVL Inserting 9533, traversed counter is 31
BST Inserting 9532, traversed counter is 468
AVL Inserting 9532, traversed counter is 12
BST Inserting 9531, traversed counter is 469
AVL Inserting 9531, traversed counter is 18
BST Inserting 9530, traversed counter is 470
AVL Inserting 9530, traversed counter is 12
BST Inserting 9529, traversed counter is 471
AVL Inserting 9529, traversed counter is 58
BST Inserting 9528, traversed counter is 472
AVL Inserting 9528, traversed counter is 12
BST Inserting 9527, traversed counter is 473
AVL Inserting 9527, traversed counter is 18
BST Inserting 9526, traversed counter is 474
AVL Inserting 9526, traversed counter is 12
BST Inserting 9525, traversed counter is 475
AVL Inserting 9525, traversed counter is 31
BST Inserting 9524, traversed counter is 476
AVL Inserting 9524, traversed counter is 12
BST Inserting 9523, traversed counter is 477
AVL Inserting 9523, traversed counter is 18
BST Inserting 9522, traversed counter is 478
AVL Inserting 9522, traversed counter is 12
BST Inserting 9521, traversed counter is 479
AVL Inserting 9521, traversed counter is 224
BST Inserting 9520, traversed counter is 480
AVL Inserting 9520, traversed counter is 12
BST Inserting 9519, traversed counter is 481
AVL Inserting 9519, traversed counter is 18
BST Inserting 9518, traversed counter is 482
AVL Inserting 9518, traversed counter is 12
BST Inserting 9517, traversed counter is 483
AVL Inserting 9517, traversed counter is 31
BST Inserting 9516, traversed counter is 484
AVL Inserting 9516, traversed counter is 12
BST Inserting 9515, traversed counter is 485
AVL Inserting 9515, traversed counter is 18
BST Inserting 9514, traversed counter is 486
AVL Inserting 9514, traversed counter is 12
BST Inserting 9513, traversed counter is 487
AVL Inserting 9513, traversed counter is 58
BST Inserting 9512, traversed counter is 488
AVL Inserting 9512, traversed counter is 12
BST Inserting 9511, traversed counter is 489
AVL Inserting 9511, traversed counter is 18
BST Inserting 9510, traversed counter is 490
AVL Inserting 9510, traversed counter is 12
BST Inserting 9509, traversed counter is 491
AVL Inserting 9509, traversed counter is 31
BST Inserting 9508, traversed counter is 492
AVL Inserting 9508, traversed counter is 12
BST Inserting 9507, traversed counter is 493
AVL Inserting 9507, traversed counter is 18
BST Inserting 9506, traversed counter is 494
AVL Inserting 9506, traversed counter is 12
BST Inserting 9505, traversed counter is 495
AVL Inserting 9505, traversed counter is 113
BST Inserting 9504, traversed counter is 496
AVL Inserting 9504, traversed counter is 12
BST Inserting 9503, traversed counter is 497
AVL Inserting 9503, traversed counter is 18
BST Inserting 9502, traversed counter is 498
AVL Inserting 9502, traversed counter is 12
BST Inserting 9501, traversed counter is 499
AVL Inserting 9501, traversed counter is 31
BST Inserting 9500, traversed counter is 500
AVL Inserting 9500, traversed counter is 12
BST Inserting 9499, traversed counter is 501
AVL Inserting 9499, traversed counter is 18
BST Inserting 9498, traversed counter is 502
AVL Inserting 9498, traversed counter is 12
BST Inserting 9497, traversed counter is 503
AVL Inserting 9497, traversed counter is 58
BST Inserting 9496, traversed counter is 504
AVL Inserting 9496, traversed counter is 12
BST Inserting 9495, traversed counter is 505
AVL Inserting 9495, traversed counter is 18
BST Inserting 9494, traversed counter is 506
AVL Inserting 9494, traversed counter is 12
BST Inserting 9493, traversed counter is 507
AVL Inserting 9493, traversed counter is 31
BST Inserting 9492, traversed counter is 508
AVL Inserting 9492, traversed counter is 12
BST Inserting 9491, traversed counter is 509
AVL Inserting 9491, traversed counter is 18
BST Inserting 9490, traversed counter is 510
AVL Inserting 9490, traversed counter is 12
BST Inserting 9489, traversed counter is 511
AVL Inserting 9489, traversed counter is 1022
BST Inserting 9488, traversed counter is 512
AVL Inserting 9488, traversed counter is 13
BST Inserting 9487, traversed counter is 513
AVL Inserting 9487, traversed counter is 19
BST Inserting 9486, traversed counter is 514
AVL Inserting 9486, traversed counter is 13
BST Inserting 9485, traversed counter is 515
AVL Inserting 9485, traversed counter is 32
BST Inserting 9484, traversed counter is 516
AVL Inserting 9484, traversed counter is 13
BST Inserting 9483, traversed counter is 517
AVL Inserting 9483, traversed counter is 19
BST Inserting 9482, traversed counter is 518
AVL Inserting 9482, traversed counter is 13
BST Inserting 9481, traversed counter is 519
AVL Inserting 9481, traversed counter is 59
BST Inserting 9480, traversed counter is 520
AVL Inserting 9480, traversed counter is 13
BST Inserting 9479, traversed counter is 521
AVL Inserting 9479, traversed counter is 19
BST Inserting 9478, traversed counter is 522
AVL Inserting 9478, traversed counter is 13
BST Inserting 9477, traversed counter is 523
AVL Inserting 9477, traversed counter is 32
BST Inserting 9476, traversed counter is 524
AVL Inserting 9476, traversed counter is 13
BST Inserting 9475, traversed counter is 525
AVL Inserting 9475, traversed counter is 19
BST Inserting 9474, traversed counter is 526
AVL Inserting 9474, traversed counter is 13
BST Inserting 9473, traversed counter is 527
AVL Inserting 9473, traversed counter is 114
BST Inserting 9472, traversed counter is 528
AVL Inserting 9472, traversed counter is 13
BST Inserting 9471, traversed counter is 529
AVL Inserting 9471, traversed counter is 19
BST Inserting 9470, traversed counter is 530
AVL Inserting 9470, traversed counter is 13
BST Inserting 9469, traversed counter is 531
AVL Inserting 9469, traversed counter is 32
BST Inserting 9468, traversed counter is 532
AVL Inserting 9468, traversed counter is 13
BST Inserting 9467, traversed counter is 533
AVL Inserting 9467, traversed counter is 19
BST Inserting 9466, traversed counter is 534
AVL Inserting 9466, traversed counter is 13
BST Inserting 9465, traversed counter is 535
AVL Inserting 9465, traversed counter is 59
BST Inserting 9464, traversed counter is 536
AVL Inserting 9464, traversed counter is 13
BST Inserting 9463, traversed counter is 537
AVL Inserting 9463, traversed counter is 19
BST Inserting 9462, traversed counter is 538
AVL Inserting 9462, traversed counter is 13
BST Inserting 9461, traversed counter is 539
AVL Inserting 9461, traversed counter is 32
BST Inserting 9460, traversed counter is 540
AVL Inserting 9460, traversed counter is 13
BST Inserting 9459, traversed counter is 541
AVL Inserting 9459, traversed counter is 19
BST Inserting 9458, traversed counter is 542
AVL Inserting 9458, traversed counter is 13
BST Inserting 9457, traversed counter is 543
AVL Inserting 9457, traversed counter is 225
BST Inserting 9456, traversed counter is 544
AVL Inserting 9456, traversed counter is 13
BST Inserting 9455, traversed counter is 545
AVL Inserting 9455, traversed counter is 19
BST Inserting 9454, traversed counter is 546
AVL Inserting 9454, traversed counter is 13
BST Inserting 9453, traversed counter is 547
AVL Inserting 9453, traversed counter is 32
BST Inserting 9452, traversed counter is 548
AVL Inserting 9452, traversed counter is 13
BST Inserting 9451, traversed counter is 549
AVL Inserting 9451, traversed counter is 19
BST Inserting 9450, traversed counter is 550
AVL Inserting 9450, traversed counter is 13
BST Inserting 9449, traversed counter is 551
AVL Inserting 9449, traversed counter is 59
BST Inserting 9448, traversed counter is 552
AVL Inserting 9448, traversed counter is 13
BST Inserting 9447, traversed counter is 553
AVL Inserting 9447, traversed counter is 19
BST Inserting 9446, traversed counter is 554
AVL Inserting 9446, traversed counter is 13
BST Inserting 9445, traversed counter is 555
AVL Inserting 9445, traversed counter is 32
BST Inserting 9444, traversed counter is 556
AVL Inserting 9444, traversed counter is 13
BST Inserting 9443, traversed counter is 557
AVL Inserting 9443, traversed counter is 19
BST Inserting 9442, traversed counter is 558
AVL Inserting 9442, traversed counter is 13
BST Inserting 9441, traversed counter is 559
AVL Inserting 9441, traversed counter is 114
BST Inserting 9440, traversed counter is 560
AVL Inserting 9440, traversed counter is 13
BST Inserting 9439, traversed counter is 561
AVL Inserting 9439, traversed counter is 19
BST Inserting 9438, traversed counter is 562
AVL Inserting 9438, traversed counter is 13
BST Inserting 9437, traversed counter is 563
AVL Inserting 9437, traversed counter is 32
BST Inserting 9436, traversed counter is 564
AVL Inserting 9436, traversed counter is 13
BST Inserting 9435, traversed counter is 565
AVL Inserting 9435, traversed counter is 19
BST Inserting 9434, traversed counter is 566
AVL Inserting 9434, traversed counter is 13
BST Inserting 9433, traversed counter is 567
AVL Inserting 9433, traversed counter is 59
BST Inserting 9432, traversed counter is 568
AVL Inserting 9432, traversed counter is 13
BST Inserting 9431, traversed counter is 569
AVL Inserting 9431, traversed counter is 19
BST Inserting 9430, traversed counter is 570
AVL Inserting 9430, traversed counter is 13
BST Inserting 9429, traversed counter is 571
AVL Inserting 9429, traversed counter is 32
BST Inserting 9428, traversed counter is 572
AVL Inserting 9428, traversed counter is 13
BST Inserting 9427, traversed counter is 573
AVL Inserting 9427, traversed counter is 19
BST Inserting 9426, traversed counter is 574
AVL Inserting 9426, traversed counter is 13
BST Inserting 9425, traversed counter is 575
AVL Inserting 9425, traversed counter is 448
BST Inserting 9424, traversed counter is 576
AVL Inserting 9424, traversed counter is 13
BST Inserting 9423, traversed counter is 577
AVL Inserting 9423, traversed counter is 19
BST Inserting 9422, traversed counter is 578
AVL Inserting 9422, traversed counter is 13
BST Inserting 9421, traversed counter is 579
AVL Inserting 9421, traversed counter is 32
BST Inserting 9420, traversed counter is 580
AVL Inserting 9420, traversed counter is 13
BST Inserting 9419, traversed counter is 581
AVL Inserting 9419, traversed counter is 19
BST Inserting 9418, traversed counter is 582
AVL Inserting 9418, traversed counter is 13
BST Inserting 9417, traversed counter is 583
AVL Inserting 9417, traversed counter is 59
BST Inserting 9416, traversed counter is 584
AVL Inserting 9416, traversed counter is 13
BST Inserting 9415, traversed counter is 585
AVL Inserting 9415, traversed counter is 19
BST Inserting 9414, traversed counter is 586
AVL Inserting 9414, traversed counter is 13
BST Inserting 9413, traversed counter is 587
AVL Inserting 9413, traversed counter is 32
BST Inserting 9412, traversed counter is 588
AVL Inserting 9412, traversed counter is 13
BST Inserting 9411, traversed counter is 589
AVL Inserting 9411, traversed counter is 19
BST Inserting 9410, traversed counter is 590
AVL Inserting 9410, traversed counter is 13
BST Inserting 9409, traversed counter is 591
AVL Inserting 9409, traversed counter is 114
BST Inserting 9408, traversed counter is 592
AVL Inserting 9408, traversed counter is 13
BST Inserting 9407, traversed counter is 593
AVL Inserting 9407, traversed counter is 19
BST Inserting 9406, traversed counter is 594
AVL Inserting 9406, traversed counter is 13
BST Inserting 9405, traversed counter is 595
AVL Inserting 9405, traversed counter is 32
BST Inserting 9404, traversed counter is 596
AVL Inserting 9404, traversed counter is 13
BST Inserting 9403, traversed counter is 597
AVL Inserting 9403, traversed counter is 19
BST Inserting 9402, traversed counter is 598
AVL Inserting 9402, traversed counter is 13
BST Inserting 9401, traversed counter is 599
AVL Inserting 9401, traversed counter is 59
BST Inserting 9400, traversed counter is 600
AVL Inserting 9400, traversed counter is 13
BST Inserting 9399, traversed counter is 601
AVL Inserting 9399, traversed counter is 19
BST Inserting 9398, traversed counter is 602
AVL Inserting 9398, traversed counter is 13
BST Inserting 9397, traversed counter is 603
AVL Inserting 9397, traversed counter is 32
BST Inserting 9396, traversed counter is 604
AVL Inserting 9396, traversed counter is 13
BST Inserting 9395, traversed counter is 605
AVL Inserting 9395, traversed counter is 19
BST Inserting 9394, traversed counter is 606
AVL Inserting 9394, traversed counter is 13
BST Inserting 9393, traversed counter is 607
AVL Inserting 9393, traversed counter is 225
BST Inserting 9392, traversed counter is 608
AVL Inserting 9392, traversed counter is 13
BST Inserting 9391, traversed counter is 609
AVL Inserting 9391, traversed counter is 19
BST Inserting 9390, traversed counter is 610
AVL Inserting 9390, traversed counter is 13
BST Inserting 9389, traversed counter is 611
AVL Inserting 9389, traversed counter is 32
BST Inserting 9388, traversed counter is 612
AVL Inserting 9388, traversed counter is 13
BST Inserting 9387, traversed counter is 613
AVL Inserting 9387, traversed counter is 19
BST Inserting 9386, traversed counter is 614
AVL Inserting 9386, traversed counter is 13
BST Inserting 9385, traversed counter is 615
AVL Inserting 9385, traversed counter is 59
BST Inserting 9384, traversed counter is 616
AVL Inserting 9384, traversed counter is 13
BST Inserting 9383, traversed counter is 617
AVL Inserting 9383, traversed counter is 19
BST Inserting 9382, traversed counter is 618
AVL Inserting 9382, traversed counter is 13
BST Inserting 9381, traversed counter is 619
AVL Inserting 9381, traversed counter is 32
BST Inserting 9380, traversed counter is 620
AVL Inserting 9380, traversed counter is 13
BST Inserting 9379, traversed counter is 621
AVL Inserting 9379, traversed counter is 19
BST Inserting 9378, traversed counter is 622
AVL Inserting 9378, traversed counter is 13
BST Inserting 9377, traversed counter is 623
AVL Inserting 9377, traversed counter is 114
BST Inserting 9376, traversed counter is 624
AVL Inserting 9376, traversed counter is 13
BST Inserting 9375, traversed counter is 625
AVL Inserting 9375, traversed counter is 19
BST Inserting 9374, traversed counter is 626
AVL Inserting 9374, traversed counter is 13
BST Inserting 9373, traversed counter is 627
AVL Inserting 9373, traversed counter is 32
BST Inserting 9372, traversed counter is 628
AVL Inserting 9372, traversed counter is 13
BST Inserting 9371, traversed counter is 629
AVL Inserting 9371, traversed counter is 19
BST Inserting 9370, traversed counter is 630
AVL Inserting 9370, traversed counter is 13
BST Inserting 9369, traversed counter is 631
AVL Inserting 9369, traversed counter is 59
BST Inserting 9368, traversed counter is 632
AVL Inserting 9368, traversed counter is 13
BST Inserting 9367, traversed counter is 633
AVL Inserting 9367, traversed counter is 19
BST Inserting 9366, traversed counter is 634
AVL Inserting 9366, traversed counter is 13
BST Inserting 9365, traversed counter is 635
AVL Inserting 9365, traversed counter is 32
BST Inserting 9364, traversed counter is 636
AVL Inserting 9364, traversed counter is 13
BST Inserting 9363, traversed counter is 637
AVL Inserting 9363, traversed counter is 19
BST Inserting 9362, traversed counter is 638
AVL Inserting 9362, traversed counter is 13
BST Inserting 9361, traversed counter is 639
AVL Inserting 9361, traversed counter is 895
BST Inserting 9360, traversed counter is 640
AVL Inserting 9360, traversed counter is 13
BST Inserting 9359, traversed counter is 641
AVL Inserting 9359, traversed counter is 19
BST Inserting 9358, traversed counter is 642
AVL Inserting 9358, traversed counter is 13
BST Inserting 9357, traversed counter is 643
AVL Inserting 9357, traversed counter is 32
BST Inserting 9356, traversed counter is 644
AVL Inserting 9356, traversed counter is 13
BST Inserting 9355, traversed counter is 645
AVL Inserting 9355, traversed counter is 19
BST Inserting 9354, traversed counter is 646
AVL Inserting 9354, traversed counter is 13
BST Inserting 9353, traversed counter is 647
AVL Inserting 9353, traversed counter is 59
BST Inserting 9352, traversed counter is 648
AVL Inserting 9352, traversed counter is 13
BST Inserting 9351, traversed counter is 649
AVL Inserting 9351, traversed counter is 19
BST Inserting 9350, traversed counter is 650
AVL Inserting 9350, traversed counter is 13
BST Inserting 9349, traversed counter is 651
AVL Inserting 9349, traversed counter is 32
BST Inserting 9348, traversed counter is 652
AVL Inserting 9348, traversed counter is 13
BST Inserting 9347, traversed counter is 653
AVL Inserting 9347, traversed counter is 19
BST Inserting 9346, traversed counter is 654
AVL Inserting 9346, traversed counter is 13
BST Inserting 9345, traversed counter is 655
AVL Inserting 9345, traversed counter is 114
BST Inserting 9344, traversed counter is 656
AVL Inserting 9344, traversed counter is 13
BST Inserting 9343, traversed counter is 657
AVL Inserting 9343, traversed counter is 19
BST Inserting 9342, traversed counter is 658
AVL Inserting 9342, traversed counter is 13
BST Inserting 9341, traversed counter is 659
AVL Inserting 9341, traversed counter is 32
BST Inserting 9340, traversed counter is 660
AVL Inserting 9340, traversed counter is 13
BST Inserting 9339, traversed counter is 661
AVL Inserting 9339, traversed counter is 19
BST Inserting 9338, traversed counter is 662
AVL Inserting 9338, traversed counter is 13
BST Inserting 9337, traversed counter is 663
AVL Inserting 9337, traversed counter is 59
BST Inserting 9336, traversed counter is 664
AVL Inserting 9336, traversed counter is 13
BST Inserting 9335, traversed counter is 665
AVL Inserting 9335, traversed counter is 19
BST Inserting 9334, traversed counter is 666
AVL Inserting 9334, traversed counter is 13
BST Inserting 9333, traversed counter is 667
AVL Inserting 9333, traversed counter is 32
BST Inserting 9332, traversed counter is 668
AVL Inserting 9332, traversed counter is 13
BST Inserting 9331, traversed counter is 669
AVL Inserting 9331, traversed counter is 19
BST Inserting 9330, traversed counter is 670
AVL Inserting 9330, traversed counter is 13
BST Inserting 9329, traversed counter is 671
AVL Inserting 9329, traversed counter is 225
BST Inserting 9328, traversed counter is 672
AVL Inserting 9328, traversed counter is 13
BST Inserting 9327, traversed counter is 673
AVL Inserting 9327, traversed counter is 19
BST Inserting 9326, traversed counter is 674
AVL Inserting 9326, traversed counter is 13
BST Inserting 9325, traversed counter is 675
AVL Inserting 9325, traversed counter is 32
BST Inserting 9324, traversed counter is 676
AVL Inserting 9324, traversed counter is 13
BST Inserting 9323, traversed counter is 677
AVL Inserting 9323, traversed counter is 19
BST Inserting 9322, traversed counter is 678
AVL Inserting 9322, traversed counter is 13
BST Inserting 9321, traversed counter
 JDoodle - output Limit reached.
